,Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
40000,2013,Level 4,II131,Postal and Courier Pick Up and Delivery Services,Percentage,H41,Liabilities structure,Financial ratios,49,ANZSIC06 group I510
40001,2013,Level 4,II132,Transport Support Services,Dollars (millions),H01,Total income,Financial performance,"3,478","ANZSIC06 groups I521, I522, and I529"
40002,2013,Level 4,II132,Transport Support Services,Dollars (millions),H04,Sales of goods and services,Financial performance,"3,236","ANZSIC06 groups I521, I522, and I529"
40003,2013,Level 4,II132,Transport Support Services,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,C,"ANZSIC06 groups I521, I522, and I529"
40004,2013,Level 4,II132,Transport Support Services,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,C,"ANZSIC06 groups I521, I522, and I529"
40005,2013,Level 4,II132,Transport Support Services,Dollars (millions),H07,Non-operating income,Financial performance,C,"ANZSIC06 groups I521, I522, and I529"
40006,2013,Level 4,II132,Transport Support Services,Dollars (millions),H08,Total expenditure,Financial performance,"3,042","ANZSIC06 groups I521, I522, and I529"
40007,2013,Level 4,II132,Transport Support Services,Dollars (millions),H09,Interest and donations,Financial performance,C,"ANZSIC06 groups I521, I522, and I529"
40008,2013,Level 4,II132,Transport Support Services,Dollars (millions),H10,Indirect taxes,Financial performance,C,"ANZSIC06 groups I521, I522, and I529"
40009,2013,Level 4,II132,Transport Support Services,Dollars (millions),H11,Depreciation,Financial performance,324,"ANZSIC06 groups I521, I522, and I529"
40010,2013,Level 4,II132,Transport Support Services,Dollars (millions),H12,Salaries and wages paid,Financial performance,"1,009","ANZSIC06 groups I521, I522, and I529"
40011,2013,Level 4,II132,Transport Support Services,Dollars (millions),H13,Redundancy and severance,Financial performance,C,"ANZSIC06 groups I521, I522, and I529"
40012,2013,Level 4,II132,Transport Support Services,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"1,037","ANZSIC06 groups I521, I522, and I529"
40013,2013,Level 4,II132,Transport Support Services,Dollars (millions),H20,Non-operating expenses,Financial performance,C,"ANZSIC06 groups I521, I522, and I529"
40014,2013,Level 4,II132,Transport Support Services,Dollars (millions),H21,Opening stocks,Financial performance,105,"ANZSIC06 groups I521, I522, and I529"
40015,2013,Level 4,II132,Transport Support Services,Dollars (millions),H22,Closing stocks,Financial performance,104,"ANZSIC06 groups I521, I522, and I529"
40016,2013,Level 4,II132,Transport Support Services,Dollars (millions),H23,Surplus before income tax,Financial performance,435,"ANZSIC06 groups I521, I522, and I529"
40017,2013,Level 4,II132,Transport Support Services,Dollars (millions),H24,Total assets,Financial position,"16,547","ANZSIC06 groups I521, I522, and I529"
40018,2013,Level 4,II132,Transport Support Services,Dollars (millions),H25,Current assets,Financial position,"1,954","ANZSIC06 groups I521, I522, and I529"
40019,2013,Level 4,II132,Transport Support Services,Dollars (millions),H26,Fixed tangible assets,Financial position,"13,221","ANZSIC06 groups I521, I522, and I529"
40020,2013,Level 4,II132,Transport Support Services,Dollars (millions),H27,Additions to fixed assets,Financial position,"1,093","ANZSIC06 groups I521, I522, and I529"
40021,2013,Level 4,II132,Transport Support Services,Dollars (millions),H28,Disposals of fixed assets,Financial position,209,"ANZSIC06 groups I521, I522, and I529"
40022,2013,Level 4,II132,Transport Support Services,Dollars (millions),H29,Other assets,Financial position,"1,372","ANZSIC06 groups I521, I522, and I529"
40023,2013,Level 4,II132,Transport Support Services,Dollars (millions),H30,Total equity and liabilities,Financial position,"16,547","ANZSIC06 groups I521, I522, and I529"
40024,2013,Level 4,II132,Transport Support Services,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"11,039","ANZSIC06 groups I521, I522, and I529"
40025,2013,Level 4,II132,Transport Support Services,Dollars (millions),H32,Current liabilities,Financial position,"1,990","ANZSIC06 groups I521, I522, and I529"
40026,2013,Level 4,II132,Transport Support Services,Dollars (millions),H33,Other liabilities,Financial position,"3,518","ANZSIC06 groups I521, I522, and I529"
40027,2013,Level 4,II132,Transport Support Services,Dollars,H34,Total income per employee count,Financial ratios,"248,700","ANZSIC06 groups I521, I522, and I529"
40028,2013,Level 4,II132,Transport Support Services,Dollars,H35,Surplus per employee count,Financial ratios,"31,100","ANZSIC06 groups I521, I522, and I529"
40029,2013,Level 4,II132,Transport Support Services,Percentage,H36,Current ratio,Financial ratios,98,"ANZSIC06 groups I521, I522, and I529"
40030,2013,Level 4,II132,Transport Support Services,Percentage,H37,Quick ratio,Financial ratios,93,"ANZSIC06 groups I521, I522, and I529"
40031,2013,Level 4,II132,Transport Support Services,Percentage,H39,Return on equity,Financial ratios,4,"ANZSIC06 groups I521, I522, and I529"
40032,2013,Level 4,II132,Transport Support Services,Percentage,H40,Return on total assets,Financial ratios,3,"ANZSIC06 groups I521, I522, and I529"
40033,2013,Level 4,II132,Transport Support Services,Percentage,H41,Liabilities structure,Financial ratios,67,"ANZSIC06 groups I521, I522, and I529"
40034,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H01,Total income,Financial performance,846,ANZSIC06 group I530
40035,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H04,Sales of goods and services,Financial performance,835,ANZSIC06 group I530
40036,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,3,ANZSIC06 group I530
40037,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,0,ANZSIC06 group I530
40038,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H07,Non-operating income,Financial performance,9,ANZSIC06 group I530
40039,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H08,Total expenditure,Financial performance,771,ANZSIC06 group I530
40040,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H09,Interest and donations,Financial performance,16,ANZSIC06 group I530
40041,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H10,Indirect taxes,Financial performance,23,ANZSIC06 group I530
40042,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H11,Depreciation,Financial performance,42,ANZSIC06 group I530
40043,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H12,Salaries and wages paid,Financial performance,224,ANZSIC06 group I530
40044,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H13,Redundancy and severance,Financial performance,0,ANZSIC06 group I530
40045,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,463,ANZSIC06 group I530
40046,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H20,Non-operating expenses,Financial performance,3,ANZSIC06 group I530
40047,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H21,Opening stocks,Financial performance,6,ANZSIC06 group I530
40048,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H22,Closing stocks,Financial performance,6,ANZSIC06 group I530
40049,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H23,Surplus before income tax,Financial performance,76,ANZSIC06 group I530
40050,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H24,Total assets,Financial position,"1,034",ANZSIC06 group I530
40051,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H25,Current assets,Financial position,242,ANZSIC06 group I530
40052,2013,Level 4,II133,Warehousing and Storage Services,Dollars (millions),H26,Fixed tangible assets,Financial position,625,ANZSIC06 group I530
