,Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
4000,2021,Level 3,OO21,"Public Order, Safety and Regulatory Services",Dollars (millions),H29,Other assets,Financial position,854,ANZSIC06 groups O771 and O772 (excluding class O7711)
4001,2021,Level 3,OO21,"Public Order, Safety and Regulatory Services",Dollars (millions),H30,Total equity and liabilities,Financial position,"1,652",ANZSIC06 groups O771 and O772 (excluding class O7711)
4002,2021,Level 3,OO21,"Public Order, Safety and Regulatory Services",Dollars (millions),H31,Shareholders funds or owners equity,Financial position,600,ANZSIC06 groups O771 and O772 (excluding class O7711)
4003,2021,Level 3,OO21,"Public Order, Safety and Regulatory Services",Dollars (millions),H32,Current liabilities,Financial position,374,ANZSIC06 groups O771 and O772 (excluding class O7711)
4004,2021,Level 3,OO21,"Public Order, Safety and Regulatory Services",Dollars (millions),H33,Other liabilities,Financial position,678,ANZSIC06 groups O771 and O772 (excluding class O7711)
4005,2021,Level 3,OO21,"Public Order, Safety and Regulatory Services",Percentage,H36,Current ratio,Financial ratios,140,ANZSIC06 groups O771 and O772 (excluding class O7711)
4006,2021,Level 3,OO21,"Public Order, Safety and Regulatory Services",Percentage,H37,Quick ratio,Financial ratios,134,ANZSIC06 groups O771 and O772 (excluding class O7711)
4007,2021,Level 3,OO21,"Public Order, Safety and Regulatory Services",Percentage,H39,Return on equity,Financial ratios,22,ANZSIC06 groups O771 and O772 (excluding class O7711)
4008,2021,Level 3,OO21,"Public Order, Safety and Regulatory Services",Percentage,H40,Return on total assets,Financial ratios,8,ANZSIC06 groups O771 and O772 (excluding class O7711)
4009,2021,Level 3,OO21,"Public Order, Safety and Regulatory Services",Percentage,H41,Liabilities structure,Financial ratios,36,ANZSIC06 groups O771 and O772 (excluding class O7711)
4010,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H01,Total income,Financial performance,"1,796",ANZSIC06 groups O771 and O772 (excluding class O7711)
4011,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H04,Sales of goods and services,Financial performance,"1,723",ANZSIC06 groups O771 and O772 (excluding class O7711)
4012,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H05,"Interest, dividends and donations",Financial performance,24,ANZSIC06 groups O771 and O772 (excluding class O7711)
4013,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,47,ANZSIC06 groups O771 and O772 (excluding class O7711)
4014,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H07,Non-operating income,Financial performance,2,ANZSIC06 groups O771 and O772 (excluding class O7711)
4015,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H08,Total expenditure,Financial performance,"1,665",ANZSIC06 groups O771 and O772 (excluding class O7711)
4016,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H09,Interest and donations,Financial performance,34,ANZSIC06 groups O771 and O772 (excluding class O7711)
4017,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H10,Indirect taxes,Financial performance,7,ANZSIC06 groups O771 and O772 (excluding class O7711)
4018,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H11,Depreciation,Financial performance,67,ANZSIC06 groups O771 and O772 (excluding class O7711)
4019,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H12,Salaries and wages paid,Financial performance,881,ANZSIC06 groups O771 and O772 (excluding class O7711)
4020,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H13,Redundancy and severance,Financial performance,1,ANZSIC06 groups O771 and O772 (excluding class O7711)
4021,2021,Level 4,OO213,"Public Order, Safety and Regulatory Services",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,663,ANZSIC06 groups O771 and O772 (excluding class O7711)
