,Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
12000,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H10,Indirect taxes,Financial performance,720,ANZSIC06 division I
12001,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H11,Depreciation,Financial performance,"1,745",ANZSIC06 division I
12002,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H12,Salaries and wages paid,Financial performance,"6,824",ANZSIC06 division I
12003,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H13,Redundancy and severance,Financial performance,22,ANZSIC06 division I
12004,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"15,271",ANZSIC06 division I
12005,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H20,Non-operating expenses,Financial performance,628,ANZSIC06 division I
12006,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H21,Opening stocks,Financial performance,273,ANZSIC06 division I
12007,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H22,Closing stocks,Financial performance,288,ANZSIC06 division I
12008,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H23,Surplus before income tax,Financial performance,"2,630",ANZSIC06 division I
12009,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H24,Total assets,Financial position,"48,676",ANZSIC06 division I
12010,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H25,Current assets,Financial position,"10,068",ANZSIC06 division I
12011,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H26,Fixed tangible assets,Financial position,"31,859",ANZSIC06 division I
12012,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H27,Additions to fixed assets,Financial position,"4,176",ANZSIC06 division I
12013,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H28,Disposals of fixed assets,Financial position,975,ANZSIC06 division I
12014,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H29,Other assets,Financial position,"6,749",ANZSIC06 division I
12015,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H30,Total equity and liabilities,Financial position,"48,676",ANZSIC06 division I
12016,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H31,Shareholders funds or owners equity,Financial position,"26,757",ANZSIC06 division I
12017,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H32,Current liabilities,Financial position,"10,444",ANZSIC06 division I
12018,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars (millions),H33,Other liabilities,Financial position,"11,475",ANZSIC06 division I
12019,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars,H34,Total income per employee count,Financial ratios,"291,100",ANZSIC06 division I
12020,2019,Level 1,II,"Transport, Postal and Warehousing",Dollars,H35,Surplus per employee count,Financial ratios,"27,000",ANZSIC06 division I
12021,2019,Level 1,II,"Transport, Postal and Warehousing",Percentage,H36,Current ratio,Financial ratios,96,ANZSIC06 division I
12022,2019,Level 1,II,"Transport, Postal and Warehousing",Percentage,H37,Quick ratio,Financial ratios,94,ANZSIC06 division I
12023,2019,Level 1,II,"Transport, Postal and Warehousing",Percentage,H39,Return on equity,Financial ratios,10,ANZSIC06 division I
12024,2019,Level 1,II,"Transport, Postal and Warehousing",Percentage,H40,Return on total assets,Financial ratios,5,ANZSIC06 division I
12025,2019,Level 1,II,"Transport, Postal and Warehousing",Percentage,H41,Liabilities structure,Financial ratios,55,ANZSIC06 division I
12026,2019,Level 3,II11,Road Transport,Dollars (millions),H01,Total income,Financial performance,"9,798",ANZSIC06 groups I461 and I462
12027,2019,Level 3,II11,Road Transport,Dollars (millions),H04,Sales of goods and services,Financial performance,"9,472",ANZSIC06 groups I461 and I462
12028,2019,Level 3,II11,Road Transport,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,63,ANZSIC06 groups I461 and I462
12029,2019,Level 3,II11,Road Transport,Dollars (millions),H06,"Government funding, grants and subsidies",Financial performance,C,ANZSIC06 groups I461 and I462
12030,2019,Level 3,II11,Road Transport,Dollars (millions),H07,Non-operating income,Financial performance,C,ANZSIC06 groups I461 and I462
12031,2019,Level 3,II11,Road Transport,Dollars (millions),H08,Total expenditure,Financial performance,"9,182",ANZSIC06 groups I461 and I462
12032,2019,Level 3,II11,Road Transport,Dollars (millions),H09,Interest and donations,Financial performance,146,ANZSIC06 groups I461 and I462
12033,2019,Level 3,II11,Road Transport,Dollars (millions),H10,Indirect taxes,Financial performance,562,ANZSIC06 groups I461 and I462
12034,2019,Level 3,II11,Road Transport,Dollars (millions),H11,Depreciation,Financial performance,617,ANZSIC06 groups I461 and I462
12035,2019,Level 3,II11,Road Transport,Dollars (millions),H12,Salaries and wages paid,Financial performance,"2,430",ANZSIC06 groups I461 and I462
12036,2019,Level 3,II11,Road Transport,Dollars (millions),H13,Redundancy and severance,Financial performance,C,ANZSIC06 groups I461 and I462
12037,2019,Level 3,II11,Road Transport,Dollars (millions),H19,Purchases and other operating expenses,Financial performance,"5,386",ANZSIC06 groups I461 and I462
12038,2019,Level 3,II11,Road Transport,Dollars (millions),H20,Non-operating expenses,Financial performance,42,ANZSIC06 groups I461 and I462
12039,2019,Level 3,II11,Road Transport,Dollars (millions),H21,Opening stocks,Financial performance,39,ANZSIC06 groups I461 and I462
12040,2019,Level 3,II11,Road Transport,Dollars (millions),H22,Closing stocks,Financial performance,37,ANZSIC06 groups I461 and I462
12041,2019,Level 3,II11,Road Transport,Dollars (millions),H23,Surplus before income tax,Financial performance,615,ANZSIC06 groups I461 and I462
12042,2019,Level 3,II11,Road Transport,Dollars (millions),H24,Total assets,Financial position,"7,916",ANZSIC06 groups I461 and I462
12043,2019,Level 3,II11,Road Transport,Dollars (millions),H25,Current assets,Financial position,"2,097",ANZSIC06 groups I461 and I462
12044,2019,Level 3,II11,Road Transport,Dollars (millions),H26,Fixed tangible assets,Financial position,"4,722",ANZSIC06 groups I461 and I462
12045,2019,Level 3,II11,Road Transport,Dollars (millions),H27,Additions to fixed assets,Financial position,"1,035",ANZSIC06 groups I461 and I462
