,Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC,Industry_name_NZSIOC,Units,Variable_code,Variable_name,Variable_category,Value,Industry_code_ANZSIC06
24000,2016,Level 3,CC41,Printing,Dollars (millions),H09,Interest and donations,Financial performance,17,ANZSIC06 groups C161 and C162
24001,2016,Level 3,CC41,Printing,Dollars (millions),H10,Indirect taxes,Financial performance,10,ANZSIC06 groups C161 and C162
24002,2016,Level 3,CC41,Printing,Dollars (millions),H11,Depreciation,Financial performance,60,ANZSIC06 groups C161 and C162
24003,2016,Level 3,CC41,Printing,Dollars (millions),H12,Salaries and wages paid,Financial performance,444,ANZSIC06 groups C161 and C162
24004,2016,Level 3,CC41,Printing,Dollars (millions),H13,Redundancy and severance,Financial performance,1,ANZSIC06 groups C161 and C162
24005,2016,Level 3,CC41,Printing,Dollars (millions),H17,Purchases of goods bought for resale,Financial performance,65,ANZSIC06 groups C161 and C162
24006,2016,Level 3,CC41,Printing,Dollars (millions),H18,Other Purchases and operating expenses,Financial performance,908,ANZSIC06 groups C161 and C162
24007,2016,Level 3,CC41,Printing,Dollars (millions),H20,Non-operating expenses,Financial performance,17,ANZSIC06 groups C161 and C162
24008,2016,Level 3,CC41,Printing,Dollars (millions),H21,Opening stocks,Financial performance,109,ANZSIC06 groups C161 and C162
24009,2016,Level 3,CC41,Printing,Dollars (millions),H22,Closing stocks,Financial performance,114,ANZSIC06 groups C161 and C162
24010,2016,Level 3,CC41,Printing,Dollars (millions),H23,Surplus before income tax,Financial performance,60,ANZSIC06 groups C161 and C162
24011,2016,Level 3,CC41,Printing,Dollars (millions),H24,Total assets,Financial position,983,ANZSIC06 groups C161 and C162
24012,2016,Level 3,CC41,Printing,Dollars (millions),H25,Current assets,Financial position,475,ANZSIC06 groups C161 and C162
24013,2016,Level 3,CC41,Printing,Dollars (millions),H26,Fixed tangible assets,Financial position,339,ANZSIC06 groups C161 and C162
24014,2016,Level 3,CC41,Printing,Dollars (millions),H27,Additions to fixed assets,Financial position,59,ANZSIC06 groups C161 and C162
24015,2016,Level 3,CC41,Printing,Dollars (millions),H28,Disposals of fixed assets,Financial position,23,ANZSIC06 groups C161 and C162
24016,2016,Level 3,CC41,Printing,Dollars (millions),H29,Other assets,Financial position,169,ANZSIC06 groups C161 and C162
24017,2016,Level 3,CC41,Printing,Dollars (millions),H30,Total equity and liabilities,Financial position,983,ANZSIC06 groups C161 and C162
24018,2016,Level 3,CC41,Printing,Dollars (millions),H31,Shareholders funds or owners equity,Financial position,300,ANZSIC06 groups C161 and C162
24019,2016,Level 3,CC41,Printing,Dollars (millions),H32,Current liabilities,Financial position,451,ANZSIC06 groups C161 and C162
24020,2016,Level 3,CC41,Printing,Dollars (millions),H33,Other liabilities,Financial position,231,ANZSIC06 groups C161 and C162
24021,2016,Level 3,CC41,Printing,Dollars,H34,Total income per employee count,Financial ratios,"200,900",ANZSIC06 groups C161 and C162
24022,2016,Level 3,CC41,Printing,Dollars,H35,Surplus per employee count,Financial ratios,"7,600",ANZSIC06 groups C161 and C162
24023,2016,Level 3,CC41,Printing,Percentage,H36,Current ratio,Financial ratios,105,ANZSIC06 groups C161 and C162
24024,2016,Level 3,CC41,Printing,Percentage,H37,Quick ratio,Financial ratios,80,ANZSIC06 groups C161 and C162
24025,2016,Level 3,CC41,Printing,Percentage,H38,Margin on sales of goods for resale,Financial ratios,20,ANZSIC06 groups C161 and C162
24026,2016,Level 3,CC41,Printing,Percentage,H39,Return on equity,Financial ratios,20,ANZSIC06 groups C161 and C162
24027,2016,Level 3,CC41,Printing,Percentage,H40,Return on total assets,Financial ratios,6,ANZSIC06 groups C161 and C162
24028,2016,Level 3,CC41,Printing,Percentage,H41,Liabilities structure,Financial ratios,31,ANZSIC06 groups C161 and C162
24029,2016,Level 4,CC411,Printing,Dollars (millions),H01,Total income,Financial performance,"1,573",ANZSIC06 groups C161 and C162
24030,2016,Level 4,CC411,Printing,Dollars (millions),H02,Sales of goods not further processed,Financial performance,81,ANZSIC06 groups C161 and C162
24031,2016,Level 4,CC411,Printing,Dollars (millions),H03,Sales of other goods and services,Financial performance,"1,485",ANZSIC06 groups C161 and C162
24032,2016,Level 4,CC411,Printing,Dollars (millions),H05,"Interest, dividends and donations",Financial performance,4,ANZSIC06 groups C161 and C162
